Year,"Sr No",Date,Title,Subject,Judgemental_Status,"Link URL","Judgemental Summary"
2019,2,13-11-2019,"ROJER MATHEW vs SOUTH INDIAN BANK LTD AND ORS CHIEF MANAGERC.A. No. 8588/2019","Constitutional challenge to the Finance Act, 2017 impacting the operation of various statutory tribunals.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=96802017&type=j&order_date=2019-11-13&from=latest_judgements_order,[]
2019,3,02-08-2019,"RITESH SINHA vs STATE OF UTTAR PRADESHCrl.A. No. 2003/2012","Constitutionality of requiring an accused person to provide a voice sample.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=273522010&type=j&order_date=2019-08-02&from=latest_judgements_order,[]
2020,1,02-03-2020,"IN RE ARTICLE 370 OF THE CONSTITUTION vs W.P.(C) No. 1099/2019","Whether the constitutional challenge to the abrogration of Article 370 should be heard by a bench of five judges or by a bench of seven judges.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=297962019&type=j&order_date=2020-03-02&from=latest_judgements_order,[]
2021,1,28-07-2021,"THE STATE OF KERALA vs K.AJITHCrl.A. No. 697/2021","the Supreme Court held that legislators' privileges under Article 194 do not extend to acts of public property destruction, and refused the withdrawal of criminal proceedings under Section 321 of the","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=115102021&type=j&order_date=2021-07-28&from=latest_judgements_order,[]
2021,2,28-06-2021,"THE STATE OF KERALA vs LEESAMMA JOSEPHC.A. No. 59/2021","Right of persons with disabilities to reservations in promotion.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=254222020&type=j&order_date=2021-06-28&from=latest_judgements_order,[]
2022,1,15-12-2022,"NEERAJ DUTTA vs STATE(GOVT.OF N.C.T.OF DELHI)Crl.A. No. 1669/2009","Whether a public servant can be convicted under the Prevention of Corruption Act, 1988 without direct evidence.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=113112009&type=j&order_date=2022-12-15&from=latest_judgements_order,[]
2022,2,05-12-2022,"SUKHPAL SINGH KHAIRA vs THE STATE OF PUNJABCrl.A. No. 885/2019","Power of a court to summon a new accused after trial has ended.","Video Recording",https://www.youtube.com/watch?v=kjBkA3uwwyo,[]
2022,3,07-11-2022,"JANHIT ABHIYAN vs UNION OF INDIAW.P.(C) No. 55/2019","Constitutional challenge to the 103rd Constitutional Amendment granting reservations to Economically Weaker Sections (EWS) of society.","Video Recording",https://www.youtube.com/embed/dYorAvbSfzs,[]
2022,4,19-09-2022,"M/S TRIMURTHI FRAGRANCES (P) LTD. THROUGH ITS DIRECTOR SHRI PRADEEP KUMAR AGRAWAL vs GOVT.OF N.C.T OF DELHI THROUGH ITS PRINCIPAL SECRETARY (FINANCE)C.A. No. 8486/2011","Whether the number of judges in the majority or the size of the bench determines the precedential value of a judgment.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=182642006&type=j&order_date=2022-09-19&from=latest_judgements_order,[]
2022,5,16-08-2022,"DEEPIKA SINGH vs CENTRAL ADMINISTRATIVE TRIBUNALC.A. No. 5308/2022","Right to avail of child-care for non-biological children.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=124502021&type=j&order_date=2022-08-16&from=latest_judgements_order,[]
2022,6,27-07-2022,"VIJAY MADANLAL CHOUDHARY vs UNION OF INDIASLP(Crl) No. 4634/2014","Constitutional challenge to provisions of the Prevention of Money Laundering Act, 2002.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=190622014&type=j&order_date=2022-07-27&from=latest_judgements_order,[]
2022,7,21-07-2022,"X vs THE PRINCIPAL SECRETARY HEALTH AND FAMILY WELFARE DEPARTMENT GOVT. OF NCT OF DELHIC.A. No. 5802/2022","Right of an unmarried woman to secure abortion after twenty weeks.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=218152022&type=j&order_date=2022-07-21&from=latest_judgements_order,[]
2023,1,13-12-2023,"IN RE INTERPLAY BETWEEN ARBITRATION AGREEMENTS UNDER THE ARBITRATION AND CONCILIATION ACT 1996 AND THE INDIAN STAMP ACT 1899. vs CURATIVE PET(C) No. 44/2023 in R.P.(C) No. 704/2021 in C.A. No. 1599/2020","Enforceability of non-stamped arbitration agreements.","Argument Transcripts",https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/uploads/2024/01/2024012520.pdf,[]
2023,2,11-12-2023,"IN RE ARTICLE 370 OF THE CONSTITUTION vs W.P.(C) No. 1099/2019","Challenge to the abrogation of Article 370 of the Constitution.","Argument Transcripts",https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/uploads/2024/01/2024012592-2.pdf,[]
2023,3,06-12-2023,"COX AND KINGS LTD. vs SAP INDIA PVT. LTD.ARBIT. PETITION No. 38/2020","When parties who have not signed an arbitration agreement can nonetheless be made party to an arbitration.","Video Recording",https://www.youtube.com/watch?v=SO8-g-_3iig,[]
2023,4,10-11-2023,"THE STATE OF PUNJAB vs PRINCIPAL SECRETARY TO THE GOVERNOR OF PUNJABW.P.(C) No. 1224/2023","Whether a Governor can withhold action on a Bill and power of the Speaker to reconvene the session of the legislative assembly.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=448962023&type=j&order_date=2023-11-10&from=latest_judgements_order,[]
2023,5,30-10-2023,"MANISH SISODIA vs CENTRAL BUREAU OF INVESTIGATIONCrl.A. No. 3352/2023","Bail application filed by Deputy Chief Minister of Delhi.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=266682023&type=j&order_date=2023-10-30&from=latest_judgements_order,[]
2023,6,20-10-2023,"DR. BALRAM SINGH vs UNION OF INDIAW.P.(C) No. 324/2020","Directions to secure the elimination of manual scavenging.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=40722020&type=j&order_date=2023-10-20&from=latest_judgements_order,[]
2023,7,17-10-2023,"SUPRIYO @ SUPRIYA CHAKRABORTY vs UNION OF INDIAW.P.(C) No. 1011/2022","Whether members of the LGBTQIA+ community have a right to marriage.","Argument Transcripts",https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/uploads/2024/01/2024012586.pdf,[]
2023,8,03-10-2023,"PANKAJ BANSAL vs UNION OF INDIACrl.A. No. 3051-3052/2023","Requirements of a legal arrest under Section 19 of the Prevention of Money Laundering Act, 2002.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=302752023&type=j&order_date=2023-10-03&from=latest_judgements_order,[]
2023,9,11-09-2023,"C.B.I. vs DR. R.R. KISHORECrl.A. No. 377/2007","Whether the Supreme Court's invalidation of Section 6A of the Delhi Special Police Establishment Act, 1946 would have retrospective effect.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=4152007&type=j&order_date=2023-09-11&from=latest_judgements_order,[]
2023,10,04-09-2023,"AMEENA BEGUM vs THE STATE OF TELANGANACrl.A. No. 2706/2023","Guidelines to review preventive detention orders.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=274422023&type=j&order_date=2023-09-04&from=latest_judgements_order,[]
2023,11,01-09-2023,"REVANASIDDAPPA vs MALLIKARJUNC.A. No. 2844/2011","Right of child born out of void or voidable marriage to inherit coparcenary (joint family) property.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=75532009&type=j&order_date=2023-09-01&from=latest_judgements_order,[]
2023,12,07-08-2023,"V. SENTHIL BALAJI vs THE STATE REPRESENTED BY DEPUTY DIRECTORCrl.A. No. 2284-2285/2023","Habeas corpus petition filed by Cabinet Minister of Tamil Nadu.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=281762023&type=j&order_date=2023-08-07&from=latest_judgements_order,[]
2023,13,11-07-2023,"DR. JAYA THAKUR vs UNION OF INDIAW.P.(C) No. 456/2022","Challenge to the extension of tenures granted to the Directors of the Enforcement Directorate and the Central Bureau of Investigation.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=185922022&type=j&order_date=2023-07-11&from=latest_judgements_order,[]
2023,14,18-05-2023,"THE ANIMAL WELFARE BOARD OF INDIA  vs UNION OF INDIAW.P.(C) No. 23/2016","Challenge to Tamil Nadu's amendments to the Prevention of Cruelty to Animals Act and its permitting of 'Jallikattu'.","Video Recording",https://www.youtube.com/watch?v=nUUtBhxB9NQ&t=8194s,[]
2023,15,11-05-2023,"GOVT. OF NCT OF DELHI vs UNION OF INDIAC.A. No. 2357/2017","Whether the Government of Delhi or the Lt. Governor of Delhi has control over the civil services of Delhi.","Video Recording",https://www.youtube.com/embed/3e-W_zOeSJQ?rel=0,[]
2023,16,11-05-2023,"SUBHASH DESAI vs PRINCIPAL SECRETARY, GOVERNOR OF MAHARASHTRAW.P.(C) No. 493/2022","Various constitutional questions emanating from the split of the Shiv Sena in 2022 and the disqualification petitions pending against Members of the Maharashtra Legislative Assembly.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=202342022&type=j&order_date=2023-05-11&from=latest_judgements_order,[]
2023,17,10-05-2023,"ADIVASIS FOR SOCIAL AND HUMAN RIGHTS ACTION vs UNION OF INDIAC.A. No. 2202/2012","Applicability of laws and rights of non-tribals within Scheduled Areas.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=283692010&type=j&order_date=2023-05-10&from=latest_judgements_order,[]
2023,18,01-05-2023,"SHILPA SAILESH vs VARUN SREENIVASANT.P.(C) No. 1118/2014","Power of the Supreme Court to grant a divorce based on the consent of the parties under Article 142 of the Constitution.","Video Recording",https://www.youtube.com/watch?v=ZV6t69_GUGk&t=18541s,[]
2023,19,05-04-2023,"MADHYAMAM BROADCASTING LIMITED vs UNION OF INDIAC.A. No. 8129/2022","Constitutional challenge to the Union Ministry of Information and Broadcasting's restrictions on the operation of the Media One television channel.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=68252022&type=j&order_date=2023-04-05&from=latest_judgements_order,[]
2023,20,21-03-2023,"SUNDAR @ SUNDARRAJAN vs STATE BY INSPECTOR OF POLICER.P.(Crl.) No. 159-160/2013 In Crl.A. No. 300-301/2011","Significance of mitigating factors when awarding the death penalty.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=59382013&type=j&order_date=2023-03-21&from=latest_judgements_order,[]
2023,21,14-03-2023,"UNION OF INDIA . vs M/S. UNION CARBIDE CORPORATIONCURATIVE PET(C) No. 345-347/2010 In R.P.(C) No. 229/1989 & 623-624/1989 In C.A. No. 3187-3188/1988 and SLP (C) No. 13080/1988","Plea to increase the amount of compensation for victims of the Bhopal Gas Tragedy.",PDF,https://webapi.sci.gov.in//pdfdate/index1.php?dt=2023-03-14&dno=601722010&filename=supremecourt/2010/60172/60172_2010_2_1501_42809_Judgement_14-Mar-2023.pdf,[]
2023,22,02-03-2023,"ANOOP BARANWAL vs UNION OF INDIA MINISTRY OF LAW AND JUSTICE SECRETARYW.P.(C) No. 104/2015","Challenge to the procedure for appointing Members of the Election Commission of India (ECI).","Video Recording",https://www.youtube.com/watch?v=_i3rdWPBcF8&t=16s,[]
2023,23,20-02-2023,"APARNA AJINKYA FIRODIA vs AJINKYA ARUN FIRODIAC.A. No. 1308/2023","Challenge to DNA test on child to prove adultery.","View Judgment",https://www.sci.gov.in/view-pdf/?diary_no=96912022&type=j&order_date=2023-02-20&from=latest_judgements_order,[]
2023,24,10-02-2023,"BAR COUNCIL OF INDIA vs BONNIE FOI LAW COLLEGE .C.A. No. 969/2023","Power of the Bar Council of India to prescribe a qualifying exam to practice as an advocate.","Video Recording",https://www.youtube.com/watch?v=-3hbnrj6U0U&t=1s,[]
2023,25,31-01-2023,"JOSEPH SHINE vs UNION OF INDIA SECRETARYMA 2204/2020 in W.P.(Crl.) No. 194/2017","Clarification regarding the applicability of the offence of adultery to the armed forces after the offence was declared unconstitutional.","Video Recording",https://www.youtube.com/embed/oXGLF1za0nI?rel=0,[]
2023,26,24-01-2023,"COMMON CAUSE (A REGD. SOCIETY) DIRECTOR SH. H.D. SHOURIE vs UNION OF INDIA (A) MINISTRY OF HEALTH AND FAMILY WELFARE SECRETARYMA 1699/2019 in W.P.(C) No. 215/2005","Revisions to guidelines on euthanasia and execution of 'Advanced Medical Directives'.","Video Recording",https://www.youtube.com/watch?time_continue=1730&v=gQTg49vACqQ&embeds_referring_euri=https%3A%2F%2Fmain.sci.gov.in%2F&source_ve_path=MTM5MTE3LDM2ODQyLDM2ODQyLDEzOTExNywxMzkxMTcsMzY4NDIsMzY4NDIsMTM5MTE3LDI4NjY2&feature=emb_logo,[]
